feature,mean,std
whole_contact_area,126.66355140186916,23.62615528510234
whole_global_peak_pressure,39.04046812040352,10.03537327600429
whole_total_pti,729.6683210897949,222.17430602973997
whole_contact_duration_proxy,0.7962770987886522,0.11946794753129597
whole_total_plantar_load_proxy,868.7016547768942,165.80829397856758
heel_contact_area,46.794392523364486,8.259504089746686
heel_global_peak_pressure,29.263799942114233,6.981667995561177
heel_total_pti,253.6152625709972,104.04135435768652
heel_contact_duration_proxy,0.9346921315963372,0.06997471494304439
heel_total_plantar_load_proxy,300.7743983768678,97.01615711226339
mid_contact_area,9.490654205607477,9.469202738699519
mid_global_peak_pressure,8.822088703796625,4.9253327987618984
mid_total_pti,51.25534663418187,39.808450722264126
mid_contact_duration_proxy,0.4964675122385403,0.4149047700885509
mid_total_plantar_load_proxy,62.5545590999967,48.17783633014978
fore_contact_area,70.3785046728972,12.858202429834959
fore_global_peak_pressure,37.79737687216684,10.809294456603093
fore_total_pti,424.7977118846157,147.99249105628095
fore_contact_duration_proxy,0.8402775722078911,0.09051821554273436
fore_total_plantar_load_proxy,505.3726973000297,120.84055577447221
